,name,bday,sex,age,age_diff,zodiac,zodiac_sp,num_of_m,num_of_m_sp,num_of_child_cl,num_of_child_sp_cl,num_of_role,num_of_role_sp,geohash,geo_distance,age_m_1,age_div_1,age_m_sp_1,age_div_sp_1,divorce
18697,Stephen Tobolowsky,1951-05-30,M,67.93842447141283,,5.0,,1.0,,2.0,,3.0,,9vg4mqf,,37.0,,,,0.0
18703,Jonathan Togo,1977-08-25,M,41.69832371643497,-5.612709364326442,8.0,3.0,1.0,1.0,1.0,,1.0,2.0,drmxdm8,5003530.0,36.0,39.0,30.0,30.0,1.0
18707,Sidney Toler,1874-04-28,M,145.0241962531743,,4.0,,2.0,,,,4.0,,9yvkdbx,,32.0,,,,1.0
18714,Paul F. Tompkins,1968-09-12,M,50.648541722280406,,8.0,,1.0,,,,4.0,,dr4ech2,,42.0,,,,0.0
18716,Franchot Tone,1905-02-27,M,114.18988754046968,0.9336262893830812,2.0,3.0,4.0,4.0,2.0,4.0,1.0,4.0,dpxv1mq,20000000.0,30.0,34.0,25.0,25.0,1.0
18725,Rip Torn,1931-02-06,M,88.24821864925356,-2.956939567547588,1.0,1.0,3.0,2.0,6.0,2.0,4.0,1.0,9vdbbvm,625441.0,24.0,30.0,22.0,22.0,1.0
18728,Guy Torry,1969-01-05,M,50.33368241647673,,0.0,,1.0,,,,2.0,,9q92qge,,33.0,,,,1.0
18729,Joe Torry,1965-09-28,M,53.60548128982799,,9.0,,1.0,,,,2.0,,9yzgery,,36.0,,,,0.0
18730,Robert Torti,1961-10-22,M,57.53985365887048,,9.0,,1.0,,3.0,,1.0,,9q5f884,,38.0,,,,0.0
18731,Nico Tortorella,1988-07-30,M,30.76859894453685,,7.0,,1.0,1.0,,,2.0,4.0,dp3x7g4,20000000.0,30.0,,,,0.0
18740,Robert Townsend,1957-02-06,M,62.24631580388372,,1.0,,1.0,,3.0,,5.0,,dp3wjzt,,33.0,44.0,,,1.0
18742,Lee Tracy,1898-04-14,M,121.06203412801085,,3.0,,1.0,,,,1.0,,djgzzxy,,40.0,,,,0.0
18743,Spencer Tracy,1900-04-05,M,119.08800317597212,2.6776730528347605,3.0,7.0,1.0,,2.0,,1.0,,dp9kzdu,625441.0,23.0,,,,0.0
18755,Joey Travolta,1950-10-14,M,68.56266726900621,,9.0,,1.0,,1.0,,4.0,,dr72ssq,,30.0,,,,0.0
18756,John Travolta,1954-02-18,M,65.21420699945925,-8.649048235076696,2.0,9.0,1.0,2.0,3.0,3.0,,2.0,,,37.0,,23.0,23.0,0.0
18762,Danny Trejo,1944-05-16,M,74.97484547937329,,4.0,,1.0,,5.0,,3.0,,9q5cugt,,53.0,65.0,,,1.0
18766,Gus Trikonis,1937-11-21,M,81.45820927192206,-8.000164274420419,10.0,10.0,1.0,2.0,,,8.0,3.0,dr72h8r,5003530.0,32.0,39.0,24.0,24.0,1.0
18840,Jerry Trimble Jr.,,M,,,,0.0,1.0,1.0,,,,2.0,dngymk2,20000000.0,,,33.0,33.0,0.0
18845,Verne Troyer,1969-01-01,M,50.34463404450468,,0.0,,1.0,,,,4.0,,dp7mb1r,,35.0,35.0,,,0.0
18846,Michael Trucco,1970-06-22,M,48.87437798175185,2.236870024709611,6.0,3.0,1.0,1.0,,,1.0,2.0,9q9j8qj,20000000.0,39.0,,41.0,41.0,0.0
18860,Stanley Tucci,1960-11-11,M,58.48443157628151,,10.0,,2.0,,7.0,,4.0,,dr76vus,,35.0,,,,1.0
18861,Forrest Tucker,1919-02-12,M,100.23203761884228,,1.0,,4.0,,3.0,,1.0,,dp49cgv,,21.0,31.0,,,1.0
18863,Jonathan Tucker,1982-05-31,M,36.934365524274966,,5.0,,1.0,,,,1.0,,drt2zp2,,30.0,,,,0.0
18866,Michael Tucker,1945-02-06,M,74.24656221551434,-1.9548656029897944,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,dqcx88s,5003530.0,28.0,,26.0,26.0,0.0
18868,Alan Tudyk,1971-03-16,M,48.143356810885926,,2.0,,1.0,,,,3.0,,9tsk8y5,,45.0,,,,0.0
18869,Sonny Tufts,1911-07-16,M,107.81056421418647,,6.0,,1.0,,,,3.0,,drt2zp2,,27.0,42.0,,,1.0
18878,Glynn Turman,,M,,,,,3.0,,3.0,,1.0,,,,,,,,1.0
18881,John Turturro,1957-02-28,M,62.186081849729966,,2.0,,1.0,,2.0,,1.0,,dr5rmm5,,28.0,,,,0.0
18884,Tom Tyler,1903-08-09,M,115.74501872043915,,7.0,,1.0,,,,1.0,,drgf86u,,34.0,,,,1.0
18890,Skeet Ulrich,1970-01-20,M,49.293277753821094,-4.982990752719084,1.0,0.0,2.0,,2.0,2.0,1.0,1.0,dnxsz4f,20000000.0,27.0,35.0,,,1.0
18891,Blair Underwood,1964-08-25,M,54.6979061856164,,8.0,,1.0,,4.0,,2.0,,c22uvdn,,30.0,,,,0.0
18897,Johann Urb,1977-01-24,M,42.281497908923534,,1.0,,2.0,,,,2.0,,ud9d5k1,,30.0,,,,1.0
18899,Robert Urich,1946-12-19,M,72.38204754375519,,11.0,,2.0,,3.0,,2.0,,dpz83df,,22.0,,,,1.0
18903,Usher,1978-10-14,M,40.56209230853474,7.783869620868328,9.0,0.0,2.0,2.0,2.0,5.0,4.0,2.0,9vg4mqf,5003530.0,29.0,31.0,31.0,31.0,1.0
18925,James Van Der Beek,1977-03-08,M,42.16376790762303,0.016427442041931046,2.0,2.0,2.0,1.0,,,1.0,1.0,drkhhuk,625441.0,26.0,33.0,26.0,26.0,1.0
18926,Casper Van Dien,1968-12-18,M,50.38296474260252,,11.0,,3.0,,4.0,,2.0,,dj6n727,,25.0,29.0,,,1.0
18927,Barry Van Dyke,1951-07-31,M,67.76867423697954,,7.0,,1.0,,4.0,,4.0,,djgzzxy,,23.0,,,,0.0
18928,Dick Van Dyke,1925-12-13,M,93.39822172939895,,11.0,,2.0,,4.0,,4.0,,9yw8vy5,,23.0,59.0,,,1.0
18929,Jerry Van Dyke,1931-07-27,M,87.78003655105854,,7.0,,2.0,,3.0,,2.0,,dp1smbm,,26.0,43.0,,,1.0
18930,Phillip Van Dyke,1984-06-13,M,34.89736271107552,,5.0,,1.0,,3.0,,1.0,,9q8yyk8,,25.0,,,,0.0
18937,Dick Van Patten,1928-12-09,M,90.40842727776753,,11.0,,1.0,,3.0,,5.0,,dr5x8y2,,26.0,,,,0.0
19193,Vincent Van Patten,1957-10-17,M,61.55362533111562,-5.8865000650252925,9.0,8.0,2.0,1.0,3.0,2.0,4.0,1.0,dr5xdtd,20000000.0,32.0,44.0,26.0,26.0,1.0
19201,Bobby Van,1928-12-06,M,90.41664099878851,,11.0,,2.0,,2.0,,6.0,,dr72r5t,,24.0,34.0,,,1.0
19209,Jilon VanOver,1978-08-24,M,40.701725565891145,,8.0,,1.0,,,,1.0,,9qh9ewm,,34.0,,,,0.0
19215,Jim Varney,1949-06-15,M,69.89329007440264,,5.0,,2.0,,,,3.0,,dngbmj4,,28.0,34.0,,,1.0
19217,Michael Vartan,1968-11-27,M,50.44046078974928,,11.0,,1.0,,,,1.0,,u09tffz,,43.0,46.0,,,1.0
19220,Greg Vaughan,1973-06-15,M,45.89279725114137,-4.295776093964968,5.0,9.0,1.0,,3.0,3.0,,3.0,9vg4mqf,20000000.0,33.0,41.0,,,1.0
19221,Ned Vaughn,1964-11-20,M,54.459708276008406,,10.0,,1.0,,5.0,,1.0,,dn4mtdm,,33.0,,,,0.0
19222,Robert Vaughn,1932-11-22,M,86.45488955967609,,11.0,,1.0,,2.0,,5.0,,dr5regw,,42.0,,,,1.0
19223,Vince Vaughn,1970-03-28,M,49.109837984352865,,3.0,,1.0,,2.0,,4.0,,9zvxvey,,40.0,,,,0.0
19226,Yul Vazquez,1965-03-18,M,54.13663524918376,-5.0048940087749925,2.0,3.0,1.0,1.0,,,2.0,3.0,d7bdqjc,20000000.0,37.0,,32.0,32.0,0.0
19227,Bruno VeSota,1922-03-25,M,97.11903735189634,,3.0,,1.0,,6.0,,1.0,,dp3wjzt,,31.0,,,,1.0
19236,Vincent Ventresca,1966-04-29,M,53.02230709733944,,4.0,,1.0,,2.0,,3.0,,dp4dprt,,29.0,,,,0.0
19240,Ben Vereen,1946-10-10,M,72.57370103424438,,9.0,,2.0,,5.0,,5.0,,dnpmxru,,20.0,28.0,,,1.0
19249,Abe Vigoda,1921-02-24,M,98.19777271264981,,2.0,,2.0,,1.0,,1.0,,dr5rmm5,,18.0,42.0,,,1.0
19256,Frank Vincent,1937-04-15,M,82.06054881345955,,3.0,,1.0,,3.0,,3.0,,drs4bm7,,33.0,,,,0.0
19258,Jan-Michael Vincent,1945-07-15,M,73.81123500140319,,6.0,,3.0,,1.0,,1.0,,9xj64fk,,23.0,32.0,,,1.0
19261,Tom Virtue,1957-11-19,M,61.46327439988501,,10.0,,1.0,,4.0,,1.0,,9vgr3e5,,42.0,,,,0.0
19263,Goran Visnjic,1972-09-09,M,46.65667330609116,,8.0,,1.0,,4.0,,1.0,,srg2c9w,,27.0,,,,0.0
19269,Fred Vogel,1976-04-18,M,43.050849777887294,,3.0,,1.0,,,,2.0,,dr5p0tn,,30.0,,,,0.0
19270,Mike Vogel,1979-07-17,M,39.806429974605905,,6.0,,1.0,,3.0,,2.0,,dr4s687,,24.0,,,,0.0
19272,Jon Voight,1938-12-29,M,80.35483274810571,-4.506594933503084,0.0,6.0,2.0,1.0,,,1.0,1.0,dr72y7k,5003530.0,24.0,29.0,19.0,19.0,1.0
19274,John Voldstad,1951-02-20,M,68.20947726510471,,2.0,,1.0,,1.0,,1.0,,u4xsudv,,39.0,,,,0.0
19420,Adam Wade,1935-03-17,M,84.14135813877081,,2.0,,2.0,,3.0,,3.0,,dppn59u,,21.0,38.0,,,1.0
19423,Lyle Waggoner,1935-04-13,M,84.06743464958213,,3.0,,1.0,,2.0,,2.0,,9yuww8y,,26.0,,,,0.0
19426,Robert Wagner,1930-02-10,M,89.23660307877644,-8.438229395538581,1.0,6.0,4.0,3.0,2.0,2.0,2.0,1.0,dpsby4p,20000000.0,27.0,32.0,19.0,19.0,1.0
19428,Ken Wahl,1957-02-14,M,62.22441254782782,2.38471700308699,1.0,9.0,3.0,1.0,3.0,,,2.0,dp3wjzt,5003530.0,26.0,34.0,30.0,30.0,1.0
19432,David Wain,1969-08-01,M,49.76419775902311,,7.0,,1.0,,2.0,,4.0,,dpq5bw4,,40.0,46.0,,,1.0
19436,Ralph Waite,1928-06-22,M,90.87387146895556,,6.0,,3.0,,3.0,,3.0,,dr793qp,,23.0,38.0,,,1.0
19439,Gregory Walcott,1928-01-13,M,91.3146744970807,,0.0,,1.0,,3.0,,1.0,,dq2789s,,26.0,,,,0.0
19445,Christopher Walken,1943-03-31,M,76.10286316625256,-0.8597028001943914,3.0,1.0,1.0,1.0,,,4.0,2.0,dr5rvuf,20000000.0,26.0,,25.0,25.0,0.0
19446,Benjamin Walker,1982-06-21,M,36.87686947712821,-1.117066058851311,6.0,7.0,2.0,1.0,1.0,1.0,3.0,1.0,dn5dq7d,5003530.0,29.0,31.0,28.0,28.0,1.0
19783,Clint Walker,1927-05-30,M,91.93891729467407,,5.0,,3.0,,1.0,,2.0,,9yzuvv6,,21.0,41.0,,,1.0
19784,Cody Walker,1988-06-13,M,30.89728057386531,,5.0,,1.0,,1.0,,1.0,,9q5ctr1,,27.0,,,,0.0
19952,Robert Walker,1918-10-13,M,100.56606227369488,-0.3833069809783911,9.0,2.0,3.0,3.0,,3.0,1.0,2.0,9x0rvu7,5003530.0,21.0,27.0,20.0,20.0,1.0
20391,Lee Wallace,1930-07-15,M,88.8122274926932,-7.844103575022074,6.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,dr5rmm5,118.0,45.0,,37.0,37.0,0.0
20400,Dylan Walsh,1963-11-17,M,55.46999596158717,3.0719316618411057,10.0,9.0,2.0,3.0,5.0,2.0,1.0,1.0,9q5ctr1,20000000.0,33.0,40.0,30.0,30.0,1.0
20403,J. T. Walsh,1943-09-28,M,75.60730199798762,,9.0,,1.0,,1.0,,1.0,,9q8yyk8,,29.0,39.0,,,1.0
20406,Raoul Walsh,1887-03-11,M,132.15603332032828,-4.6599177258944415,2.0,10.0,3.0,1.0,,,2.0,3.0,dr5regw,5003530.0,29.0,39.0,25.0,25.0,1.0
20408,Ray Walston,1914-11-02,M,104.5113862707653,,10.0,,1.0,,1.0,,2.0,,dj8s7c9,,29.0,,,,0.0
20412,David Walton,1978-10-27,M,40.52649951744389,-2.3190072349192663,10.0,2.0,1.0,2.0,2.0,2.0,1.0,7.0,drt2zp2,5003530.0,33.0,,26.0,26.0,0.0
20416,Sam Wanamaker,1919-06-14,M,99.8980129639897,,5.0,,1.0,,3.0,,2.0,,dp3wjzt,,21.0,,,,0.0
20418,Wang Leehom,1976-05-17,M,42.97145047468463,,4.0,,1.0,,3.0,,9.0,,dr8v9bq,,37.0,,,,0.0
20421,Patrick Warburton,1964-11-14,M,54.476135718050344,,10.0,,1.0,,4.0,,3.0,,dr72b0t,,27.0,,,,0.0
20422,Burt Ward,1945-07-06,M,73.83587616446607,,6.0,,4.0,,2.0,,2.0,,9q5ctr1,,20.0,22.0,,,1.0
20428,Kelly Ward,1956-11-17,M,62.468086271449785,,10.0,,1.0,,3.0,,3.0,,9mudjgt,,21.0,,,,0.0
20436,Jack Warden,1920-09-18,M,98.63309992676099,,8.0,,1.0,,1.0,,1.0,,dr5r8pt,,38.0,,,,0.0
20439,Richard Waring,1911-05-27,M,107.94745956453586,1.6263167621511736,5.0,9.0,1.0,,,,1.0,2.0,gcpte7e,20000000.0,23.0,,,,0.0
20441,Billy Warlock,1961-03-26,M,58.11481413033806,-0.6707872167121843,3.0,11.0,2.0,,,,1.0,,9q5bgc4,20000000.0,24.0,,,,1.0
20443,Malcolm-Jamal Warner,1970-08-18,M,48.718317282353496,,7.0,,1.0,,1.0,,3.0,,dr5reh7,,48.0,,,,0.0
20447,Jerry Warren,,M,,,,,1.0,,,,7.0,,,,,,,,1.0
20453,Denzel Washington,1954-12-28,M,64.35724210627185,,0.0,,1.0,,4.0,,3.0,,dr72xzc,,29.0,,,,0.0
20454,Isaiah Washington,1963-08-03,M,55.760214104327936,,7.0,,1.0,,3.0,,1.0,,9vk1mc9,,33.0,,,,0.0
20591,James Waterston,1969-01-17,M,50.300827532392866,,0.0,,1.0,,,,,,dr5regw,,31.0,,,,0.0
20592,Sam Waterston,1940-11-15,M,78.47389063430461,,10.0,,2.0,,4.0,,5.0,,drt3jcg,,24.0,35.0,,,1.0
20596,Barry Watson,1974-04-23,M,45.03857026496096,,4.0,,3.0,,3.0,,1.0,,dpgnesu,,22.0,28.0,,,1.0
20610,Damon Wayans Jr.,1982-11-18,M,36.46618342607994,,10.0,,1.0,,2.0,,3.0,,druh5jh,,34.0,,,,0.0
20616,John Wayne,1907-05-26,M,111.95027960875306,,5.0,,3.0,,7.0,,3.0,,9zm5hsj,,26.0,38.0,,,1.0
20622,Michael Weatherly,1968-07-08,M,50.82924358474165,-4.690034702971314,6.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,dr5regw,20000000.0,27.0,29.0,22.0,22.0,1.0
20623,Carl Weathers,1948-01-14,M,71.31152590402267,,0.0,,3.0,,2.0,,4.0,,9vrfqk7,,25.0,35.0,,,1.0
20952,Fritz Weaver,1926-01-19,M,93.29691917014038,,0.0,,2.0,,,,3.0,,dppn59u,,27.0,53.0,,,1.0
20956,Jack Webb,1920-04-02,M,99.09580621094204,-6.483363792548786,3.0,9.0,4.0,2.0,,5.0,4.0,2.0,9q59x9j,625441.0,27.0,34.0,21.0,21.0,1.0
20959,Mark Webber,1980-07-19,M,38.79888019603414,-5.607233550312464,6.0,2.0,1.0,1.0,4.0,3.0,3.0,2.0,9zvxvey,20000000.0,33.0,,27.0,27.0,0.0
20963,Charlie Weber,1978-09-20,M,40.62780207670247,,8.0,,1.0,,1.0,,1.0,,9yy7qw9,,37.0,38.0,,,1.0
20965,Steven Weber,1961-03-04,M,58.17504808449181,0.9856465225158628,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,dr5x874,20000000.0,24.0,31.0,25.0,25.0,1.0
21161,Scott Weinger,1975-10-05,M,43.58747955125704,,9.0,,1.0,1.0,1.0,1.0,5.0,4.0,dr5reg9,,33.0,,,,0.0
21166,Jeffrey Weissman,1958-10-02,M,60.59535787866965,,9.0,,1.0,,,,,,9q59x9j,,46.0,,,,0.0
21167,Johnny Weissmuller,1904-06-02,M,114.92912243235659,,5.0,,5.0,,3.0,,2.0,,u2ph1gb,,27.0,29.0,,,1.0
21168,Bruce Weitz,1943-05-27,M,75.9468024668542,-4.73384121508313,5.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,dr7cct3,20000000.0,28.0,37.0,23.0,23.0,1.0
21169,Christopher Evan Welch,1965-09-28,M,53.60548128982799,,9.0,,1.0,,1.0,,1.0,,dqchk29,,43.0,,,,0.0
21172,Charles Weldon,1940-06-01,M,78.93112110447169,,5.0,,1.0,,,,3.0,,9y783yy,,40.0,,,,1.0
21175,Peter Weller,1947-06-24,M,71.87005893344832,,6.0,,1.0,,1.0,,3.0,,dpbm39m,,59.0,,,,0.0
21179,Tom Welling,1977-04-26,M,42.02961046428058,,4.0,,1.0,,1.0,,4.0,,dr77pw0,,25.0,38.0,,,1.0
21180,Titus Welliver,1961-03-12,M,58.1531448284359,,2.0,,3.0,,3.0,,1.0,,drk4urz,,37.0,28.0,,,1.0
21186,George Wendt,1948-10-17,M,70.55312566308686,,9.0,,1.0,,3.0,,2.0,,dp3wjzt,,30.0,,,,0.0
21193,Adam West,1928-09-19,M,90.63019774533358,,8.0,,3.0,,4.0,,1.0,,c25y51c,,22.0,28.0,,,1.0
21194,Andrew J West,,M,,,,9.0,1.0,1.0,1.0,1.0,1.0,1.0,dp3guxw,20000000.0,,,28.0,28.0,0.0
21200,Red West,1936-03-08,M,83.1639253372759,,2.0,,1.0,,2.0,,5.0,,9ypzyyu,,25.0,,,,0.0
21202,Sonny West,1938-07-05,M,80.83944228834268,,6.0,,1.0,,2.0,,2.0,,9ypzyyu,,32.0,,,,0.0
21214,Frank Whaley,1963-07-20,M,55.79854480242579,,6.0,,1.0,,,,5.0,,dr9ughx,,38.0,,,,0.0
21221,Wil Wheaton,1972-07-29,M,46.771665400384684,,7.0,,1.0,,,,7.0,,9q5f7y6,,27.0,,,,0.0
21222,Bert Wheeler,1895-04-07,M,124.08194555671915,,3.0,,5.0,,1.0,,2.0,,dr72b0t,,20.0,31.0,,,1.0
21229,Forest Whitaker,1961-07-15,M,57.81090645256234,,6.0,,1.0,,4.0,,3.0,,9vu8uhs,,35.0,57.0,,,1.0
21235,Brian J. White,1973-04-21,M,46.04338213652574,,4.0,,1.0,,1.0,,1.0,,drt2zp2,,37.0,,,,0.0
21237,David White,1916-04-04,M,103.09041253413828,,3.0,,2.0,,2.0,,1.0,,9xj64fk,,36.0,,,,1.0
21238,David A. R. White,1970-05-12,M,48.98663216903838,,4.0,,1.0,,,,4.0,,9y8yu09,,33.0,,,,0.0
21243,Jesse White,1917-01-03,M,102.34022601422345,,0.0,,1.0,,2.0,,3.0,,dpxgvp4,,25.0,,,,0.0
21257,Dondré Whitfield,1969-05-27,M,49.94489962148435,,5.0,,1.0,,,,1.0,,dr5rmm5,,33.0,,,,0.0
21259,Bradley Whitford,1959-10-10,M,59.57411856506293,3.802952832707037,9.0,11.0,1.0,1.0,3.0,3.0,1.0,1.0,dp8mj9h,625441.0,33.0,51.0,37.0,37.0,1.0
21272,Richard Widmark,1914-12-26,M,104.36353929238794,-1.6071514131022542,0.0,7.0,2.0,1.0,1.0,1.0,2.0,1.0,cbjfzhe,,28.0,,26.0,26.0,1.0
21273,Rob Wiethoff,1976-09-15,M,42.64016372683902,,8.0,,1.0,,2.0,,3.0,,dnfvts2,,35.0,,,,0.0
21286,Henry Wilcoxon,1905-09-08,M,113.66147148812092,,8.0,,2.0,,3.0,,1.0,,ddsr51x,,31.0,32.0,,,1.0
21287,Cornel Wilde,1912-10-13,M,106.5648165260067,-2.5380397954783467,9.0,4.0,2.0,,2.0,1.0,2.0,1.0,u2tjrz1,20000000.0,25.0,39.0,,,1.0
21289,Gene Wilder,1933-06-11,M,85.9045702512714,,5.0,,4.0,,1.0,,6.0,,dp9kzdu,,27.0,32.0,,,1.0
21296,Fred Willard,1939-09-18,M,79.63476320526773,,8.0,,1.0,,1.0,,5.0,,dpq5bw4,,29.0,,,,0.0
21303,Billy Dee Williams,1937-04-06,M,82.08518997652244,,3.0,,3.0,,2.0,,1.0,,dr5regw,,22.0,26.0,,,1.0
21308,Scott Wolf,1968-06-04,M,50.92233242297925,,5.0,,1.0,,3.0,,1.0,,drt2zp2,,36.0,,,,0.0
21312,Ian Wolfe,1896-11-04,M,122.50217321368679,,10.0,,1.0,,,,1.0,,9zpyxpq,,28.0,,,,0.0
